date,BANKBARODA,BANKINDIA,MAHABANK,CANBK,CENTRALBK,INDIANB,IOB,PSB,PNB,SBIN,UCOBANK,UNIONBANK
2025-01-28,0.009725213050842285,-0.0500718355178833,-0.01604282855987549,0.0012802481651306152,0.007771551609039307,-0.031410813331604004,0.008812308311462402,-0.012666463851928711,0.044678568840026855,-0.004271268844604492,0.004433095455169678,0.047194719314575195
2025-01-29,0.0038526058197021484,-0.011921048164367676,-0.01983809471130371,-0.0012818574905395508,0.0015664100646972656,-0.05938076972961426,-0.012325644493103027,-0.005391359329223633,-0.020057380199432373,-0.008040904998779297,-0.0016405582427978516,0.017765283584594727
2025-01-30,-0.0009594559669494629,-0.0036693811416625977,0.0019849538803100586,0.011056780815124512,-0.001568913459777832,-0.0021152496337890625,-0.0017963647842407227,-0.010510563850402832,-0.012887120246887207,-0.005471587181091309,-0.0025736093521118164,-0.013229191303253174
2025-01-31,-0.04057621955871582,-0.011641263961791992,-0.020087599754333496,-0.02577388286590576,-0.01918935775756836,-0.018132925033569336,-0.016138672828674316,-0.02610909938812256,-0.048491477966308594,-0.013506531715393066,-0.015402555465698242,0.04003345966339111
2025-02-01,-0.011761784553527832,0.037755608558654785,0.016767442226409912,0.006883978843688965,0.02881842851638794,0.03675079345703125,0.013529360294342041,0.008274734020233154,0.01831120252609253,0.008927464485168457,0.014019668102264404,-0.02640765905380249
2025-02-03,-0.013674318790435791,0.040225327014923096,0.01725161075592041,0.02160346508026123,0.011869430541992188,0.02788102626800537,0.02902013063430786,0.041510164737701416,0.010338962078094482,0.006592690944671631,0.02983689308166504,-0.029330670833587646
2025-02-04,0.023620009422302246,-0.028318405151367188,-0.017352581024169922,-0.024560093879699707,-0.01281285285949707,-0.038140296936035156,-0.017400264739990234,-0.02023935317993164,-0.007431387901306152,-0.023983120918273926,-0.011773228645324707,0.04338359832763672
2025-02-05,0.03360927104949951,-0.009613394737243652,-0.01051175594329834,-0.03226923942565918,-0.01858067512512207,9.691715240478516e-05,-0.03480887413024902,-0.019411206245422363,-0.012294173240661621,0.01687633991241455,-0.019710183143615723,0.046845197677612305
2025-02-06,-0.0014559626579284668,0.0024796724319458008,-0.001373887062072754,0.010159611701965332,0.008538663387298584,-0.014250993728637695,0.010305225849151611,0.0031387805938720703,0.005491673946380615,0.018014490604400635,0.01141124963760376,0.001300811767578125
2025-02-07,-0.015552818775177002,0.013622403144836426,0.021560192108154297,0.008459270000457764,0.003327488899230957,0.008315742015838623,0.010412633419036865,0.01574307680130005,0.004566192626953125,0.020006656646728516,0.010836243629455566,-0.012731671333312988
2025-02-10,-0.0049370527267456055,0.02096766233444214,0.014623403549194336,0.009441494941711426,0.016692817211151123,0.03469878435134888,0.016676604747772217,0.0183408260345459,0.009601056575775146,0.0005426406860351562,0.017861366271972656,-0.025440871715545654
2025-02-11,-0.020590484142303467,0.026050329208374023,0.022362232208251953,0.0331878662109375,0.03754746913909912,0.02086871862411499,0.027458131313323975,0.046056926250457764,0.03134423494338989,0.007736146450042725,0.02812802791595459,-0.03690701723098755
2025-02-12,0.00810539722442627,-0.012580633163452148,-0.01497197151184082,-0.005107522010803223,-0.008923053741455078,-0.009382009506225586,0.008926630020141602,-0.004327058792114258,-0.004670262336730957,-0.0028040409088134766,0.002994060516357422,0.03944289684295654
2025-02-13,-0.008040249347686768,0.01367717981338501,-0.006760835647583008,0.020208001136779785,-0.0012340545654296875,-0.0030308961868286133,-0.009425997734069824,-0.0138322114944458,0.01084667444229126,0.0075019001960754395,-0.006006002426147461,-0.016994893550872803
2025-02-14,-0.026848971843719482,0.017783403396606445,0.02869349718093872,0.03485715389251709,0.016022980213165283,0.022159576416015625,0.03340935707092285,0.030641913414001465,0.02517622709274292,0.007558584213256836,0.02363187074661255,-0.0317416787147522
2025-02-17,0.008849501609802246,0.002694249153137207,-0.020322680473327637,0.0061234235763549805,0.016075193881988525,-0.017923355102539062,0.009660840034484863,0.011998176574707031,-0.010100960731506348,-0.007685422897338867,0.015031874179840088,-0.0038733482360839844
