symbol,date,open,high,low,close,volume
AUBANK,2022-03-10,586.0,597.5,575.3,581.05,3223206
AUBANK,2022-03-11,575.0,598.0,573.0,596.5,2531178
AUBANK,2022-03-14,597.95,601.95,538.05,560.55,5538038
AUBANK,2022-03-15,566.25,591.0,565.55,584.75,3947152
AUBANK,2022-03-16,590.0,597.45,580.8,589.4,3214070
AUBANK,2022-03-17,600.0,602.5,579.85,581.7,2284234
AUBANK,2022-03-21,590.0,591.9,570.0,588.85,2554532
AUBANK,2022-03-22,588.85,599.85,582.0,598.0,1763570
AUBANK,2022-03-23,600.5,620.25,600.5,617.85,3682644
AUBANK,2022-03-24,616.0,629.4,612.5,620.7,2157018
AUBANK,2022-03-25,623.05,625.75,598.9,603.0,1813510
AUBANK,2022-03-28,608.0,612.4,600.6,607.35,1626170
AUBANK,2022-03-29,612.3,615.25,602.3,607.8,1200232
AUBANK,2022-03-30,610.4,617.8,596.75,601.1,3058516
AUBANK,2022-03-31,605.0,625.0,603.05,623.1,2013130
AUBANK,2022-04-01,619.5,645.0,617.5,643.75,2654250
AUBANK,2022-04-04,643.75,658.75,636.15,654.35,1931408
AUBANK,2022-04-05,669.5,672.0,649.0,657.4,2714370
AUBANK,2022-04-06,657.2,670.0,650.65,668.2,2881648
AUBANK,2022-04-07,659.6,689.8,659.6,681.0,2603620
AUBANK,2022-04-08,683.0,702.95,683.0,694.5,3042498
AUBANK,2022-04-11,694.95,708.45,688.2,698.6,1738134
AUBANK,2022-04-12,699.0,703.35,688.0,700.45,2759828
AUBANK,2022-04-13,702.9,714.75,698.5,701.4,2800716
AUBANK,2022-04-18,695.0,701.4,682.0,690.1,3003826
AUBANK,2022-04-19,701.0,729.85,697.55,710.25,9170498
AUBANK,2022-04-20,710.2,723.0,703.5,710.1,3416344
AUBANK,2022-04-21,717.0,732.95,711.5,717.5,2188594
AUBANK,2022-04-22,715.9,715.9,681.55,685.85,3423786
AUBANK,2022-04-25,682.5,692.6,670.4,684.45,2078930
AUBANK,2022-04-26,692.2,710.55,689.35,707.75,2523176
AUBANK,2022-04-27,702.5,702.5,670.0,681.45,5528720
AUBANK,2022-04-28,695.0,707.5,684.25,704.2,3154478
AUBANK,2022-04-29,710.0,712.0,687.25,695.0,1739726
AUBANK,2022-05-02,691.4,695.2,678.0,685.55,2070924
AUBANK,2022-05-04,694.5,697.15,657.5,663.5,2184686
AUBANK,2022-05-05,674.5,682.55,664.5,675.05,1864370
AUBANK,2022-05-06,650.0,669.95,637.85,658.2,2431816
AUBANK,2022-05-09,655.0,656.95,636.3,639.6,1800792
AUBANK,2022-05-10,633.25,648.5,630.0,631.35,2134714
AUBANK,2022-05-11,638.45,641.4,616.8,637.6,2099144
AUBANK,2022-05-12,631.95,634.95,608.4,619.5,3019552
AUBANK,2022-05-13,645.0,663.15,641.1,646.8,8256280
AUBANK,2022-05-16,655.0,660.3,642.65,653.1,2467244
AUBANK,2022-05-17,662.5,662.5,653.25,657.7,2158594
AUBANK,2022-05-18,664.5,668.35,640.0,641.5,2304192
AUBANK,2022-05-19,627.5,636.4,625.0,630.15,2647410
AUBANK,2022-05-20,640.0,657.5,637.05,655.1,2417282
AUBANK,2022-05-23,661.0,677.5,658.0,669.95,3019164
AUBANK,2022-05-24,669.9,676.45,654.5,661.7,3137550
AUBANK,2022-05-25,661.45,666.95,638.0,644.4,2394842
AUBANK,2022-05-26,649.75,666.6,647.5,660.75,2689048
AUBANK,2022-05-27,669.45,670.0,652.15,656.2,2785788
AUBANK,2022-05-30,659.05,668.75,645.3,648.0,1381314
AUBANK,2022-05-31,647.95,653.65,614.8,625.65,17460496
AUBANK,2022-06-01,638.1,647.55,629.85,643.1,2025758
AUBANK,2022-06-02,649.3,654.0,639.2,650.95,1196040
AUBANK,2022-06-03,654.5,660.25,628.2,631.4,2137620
AUBANK,2022-06-06,633.5,639.6,628.0,634.05,1947938
AUBANK,2022-06-07,633.75,642.3,629.1,635.05,1673398
AUBANK,2022-06-08,641.35,643.85,626.0,629.2,1865884
AUBANK,2022-06-09,634.9,637.0,606.0,613.35,2314345
AUBANK,2022-06-10,609.95,613.8,599.5,603.05,1569736
AUBANK,2022-06-13,590.0,594.95,580.1,587.95,3029043
AUBANK,2022-06-14,579.2,610.0,579.2,602.95,3072334
AUBANK,2022-06-15,609.5,630.0,603.15,627.4,2533624
AUBANK,2022-06-16,634.4,641.5,613.25,624.65,2249696
AUBANK,2022-06-17,618.5,629.8,609.25,623.5,2324022
AUBANK,2022-06-20,624.15,625.9,602.2,614.15,975584
AUBANK,2022-06-21,615.05,620.0,607.0,611.75,1013194
AUBANK,2022-06-22,607.0,609.3,595.55,599.05,1423249
AUBANK,2022-06-23,600.0,622.0,595.0,610.6,1391198
AUBANK,2022-06-24,612.0,620.0,605.0,614.45,1329654
AUBANK,2022-06-27,621.25,631.0,620.5,624.3,788738
AUBANK,2022-06-28,621.7,627.45,614.95,622.65,1141215
AUBANK,2022-06-29,594.0,602.95,565.0,596.05,8784371
AUBANK,2022-06-30,594.0,600.25,582.2,591.7,2546047
AUBANK,2022-07-01,586.0,587.3,563.3,578.9,2741511
AUBANK,2022-07-04,582.95,587.9,559.6,563.45,2304333
AUBANK,2022-07-05,570.0,572.8,554.0,556.7,1728921
AUBANK,2022-07-06,560.5,585.0,558.0,581.65,2202048
AUBANK,2022-07-07,584.0,593.0,578.45,585.35,1800753
AUBANK,2022-07-08,586.0,598.9,579.5,582.05,980621
AUBANK,2022-07-11,580.0,591.75,576.2,584.65,1197204
AUBANK,2022-07-12,583.45,587.75,574.15,577.0,1415638
AUBANK,2022-07-13,579.9,584.9,566.75,571.15,889964
AUBANK,2022-07-14,568.65,571.15,550.35,554.5,2573264
AUBANK,2022-07-15,555.0,558.95,539.0,550.15,2026203
AUBANK,2022-07-18,555.0,562.0,551.15,557.25,1659155
AUBANK,2022-07-19,550.55,569.55,545.1,566.2,2669484
AUBANK,2022-07-20,578.0,581.45,568.2,576.95,1919119
AUBANK,2022-07-21,575.0,601.0,570.0,586.75,4404423
AUBANK,2022-07-22,592.0,594.35,580.85,582.35,1042411
AUBANK,2022-07-25,581.9,584.95,570.1,581.7,1098397
AUBANK,2022-07-26,580.4,586.0,575.6,582.35,1075622
AUBANK,2022-07-27,581.0,590.0,578.65,581.85,951226
AUBANK,2022-07-28,582.0,594.05,577.5,590.8,1287017
AUBANK,2022-07-29,596.0,601.0,587.15,592.05,1320263
AUBANK,2022-08-01,593.2,607.45,588.25,604.75,1295727
AUBANK,2022-08-02,603.55,626.7,596.95,617.8,2648323
AUBANK,2022-08-03,620.0,623.4,600.5,609.6,1876962
AUBANK,2022-08-04,610.45,645.0,610.45,636.6,3809324
AUBANK,2022-08-05,636.6,650.1,628.5,648.0,1838153
AUBANK,2022-08-08,645.0,655.0,642.65,650.05,1277644
AUBANK,2022-08-10,650.5,657.5,640.35,645.15,1506846
AUBANK,2022-08-11,649.6,659.6,642.0,644.35,1369854
AUBANK,2022-08-12,648.0,648.0,628.1,631.15,8516334
AUBANK,2022-08-16,633.0,647.1,633.0,639.85,2194505
AUBANK,2022-08-17,647.0,652.0,637.5,646.25,1883992
AUBANK,2022-08-18,643.0,647.15,639.25,645.35,983261
AUBANK,2022-08-19,655.0,656.0,635.0,638.95,2046529
AUBANK,2022-08-22,634.8,644.0,628.95,636.9,1375779
AUBANK,2022-08-23,630.5,652.95,627.0,646.45,2306745
AUBANK,2022-08-24,646.6,659.0,643.25,651.65,2121635
AUBANK,2022-08-25,656.4,668.0,645.0,648.5,3640290
AUBANK,2022-08-26,652.4,658.8,637.25,641.4,1123235
AUBANK,2022-08-29,627.5,638.3,620.2,633.75,2405127
AUBANK,2022-08-30,634.3,644.7,628.4,633.9,4829944
AUBANK,2022-09-01,639.95,654.3,634.6,648.0,2108773
AUBANK,2022-09-02,645.0,655.7,643.4,645.2,1371229
AUBANK,2022-09-05,649.2,658.65,643.0,651.95,1027756
AUBANK,2022-09-06,657.9,657.9,647.4,650.1,1003879
AUBANK,2022-09-07,647.0,650.1,639.55,640.9,862386
AUBANK,2022-09-08,644.15,650.9,644.1,649.0,1210770
AUBANK,2022-09-09,657.0,668.0,648.5,652.6,2401767
AUBANK,2022-09-12,654.7,662.55,652.25,660.75,1050504
AUBANK,2022-09-13,662.8,677.2,662.3,674.8,2035584
AUBANK,2022-09-14,669.8,682.7,665.0,677.6,1474192
AUBANK,2022-09-15,681.0,686.6,674.8,680.85,1273028
AUBANK,2022-09-16,679.0,683.4,653.25,658.65,1257784
AUBANK,2022-09-19,658.65,661.15,644.1,653.4,1103577
AUBANK,2022-09-20,659.0,672.9,655.1,666.2,1037776
AUBANK,2022-09-21,670.1,678.15,663.5,666.0,1549475
AUBANK,2022-09-22,663.7,672.55,659.25,663.4,913273
AUBANK,2022-09-23,664.0,669.6,635.6,637.85,1211636
AUBANK,2022-09-26,633.0,635.0,589.65,597.15,2957525
AUBANK,2022-09-27,606.7,610.05,590.5,606.6,1373046
AUBANK,2022-09-28,602.6,604.0,577.0,582.25,1771176
AUBANK,2022-09-29,594.0,608.15,588.65,600.4,2772572
AUBANK,2022-09-30,602.8,624.9,588.0,619.2,2359873
AUBANK,2022-10-03,616.95,619.2,590.1,594.4,2032188
AUBANK,2022-10-04,606.0,615.65,604.1,607.75,1640822
AUBANK,2022-10-06,626.0,638.75,601.05,605.05,3958623
AUBANK,2022-10-07,605.0,605.05,587.0,591.05,2075229
AUBANK,2022-10-10,578.4,592.15,578.4,587.35,1142078
AUBANK,2022-10-11,589.7,590.3,578.8,582.8,2613081
AUBANK,2022-10-12,585.75,591.0,572.2,588.45,1964964
